ProductKey,ProductCode,ProductName,Category,Subcategory,Color,Size,Brand,UnitCost,UnitPriceBase,SupplierID,SupplierName,MinStock,LeadTimeDays
1,TOY-0001,بلوک‌های خانه زرد متوسط,لگو و ساختنی,لگو,زرد,متوسط,فانتزی,393303,774806,2,تویز لند,47,10
2,TOY-0002,لگو پلیس قرمز کوچک,لگو و ساختنی,ماکت,قرمز,کوچک,پلی‌تویز,610698,909940,4,کیان تویز,23,25
3,TOY-0003,عروسک بامزی صورتی متوسط,عروسک,پلاستیکی,صورتی,متوسط,پاندورا,86341,165774,10,دنیای شادی,40,10
4,TOY-0004,دوچرخه کودک صورتی بزرگ,بازی در فضای باز,توپ,صورتی,بزرگ,آسمان,716830,1010730,3,بازی و شادی,6,26
5,TOY-0005,پازل ۱۰۰ تکه آبی خانواده,فکری و آموزشی,وسایل آموزشی,آبی,خانواده,کیدزلند,837469,1281327,6,نوین تویز,25,3
6,TOY-0006,فیگور مرد عنکبوتی بنفش کوچک,اکشن فیگور,سرباز,بنفش,کوچک,زرافه,325114,555944,2,تویز لند,48,27
7,TOY-0007,توپ بسکتبال زرد کوچک,بازی در فضای باز,اسکوتر,زرد,کوچک,تویز,312492,553110,4,کیان تویز,46,18
8,TOY-0008,دوچرخه کودک آبی خانواده,بازی در فضای باز,توپ,آبی,خانواده,آسمان,255788,370892,8,ماهان تویز,48,25
9,TOY-0009,سرباز اسباب‌بازی مشکی متوسط,اکشن فیگور,ابرقهرمان,مشکی,متوسط,آسمان,983733,1652671,2,تویز لند,41,21
10,TOY-0010,ماشین فلزی بنفش خانواده,ماشین و رادیویی,ماشین ساده,بنفش,خانواده,آسمان,689898,1152129,9,پویا تویز,22,6
11,TOY-0011,پازل ۱۰۰ تکه زرد کوچک,فکری و آموزشی,وسایل آموزشی,زرد,کوچک,شادی,943935,1642446,7,آریا اسباب‌بازی,13,28
12,TOY-0012,دوچرخه کودک چندرنگ بزرگ,بازی در فضای باز,توپ,چندرنگ,بزرگ,پلی‌تویز,124741,225781,8,ماهان تویز,11,14
13,TOY-0013,عروسک پارچه‌ای سفید متوسط,نوزاد و خردسال,پازل چوبی,سفید,متوسط,پلی‌تویز,510321,724655,9,پویا تویز,18,19
14,TOY-0014,توپ بسکتبال صورتی بزرگ,بازی در فضای باز,استخر بادی,صورتی,بزرگ,پلی‌تویز,281016,505828,3,بازی و شادی,6,8
15,TOY-0015,بادکنک رنگی آبی متوسط,مهمانی و بادکنک,بادکنک,آبی,متوسط,فانتزی,231703,403163,7,آریا اسباب‌بازی,33,20
16,TOY-0016,پازل سه‌بعدی برج چندرنگ خانواده,لگو و ساختنی,ماکت,چندرنگ,خانواده,دنیای اسباب‌بازی,781878,1532480,5,پارس اسباب‌بازی,40,16
17,TOY-0017,عروسک بامزی سفید بزرگ,عروسک,پارچه‌ای,سفید,بزرگ,کیدزلند,735453,1176724,5,پارس اسباب‌بازی,18,25
18,TOY-0018,پازل چوبی قرمز بزرگ,نوزاد و خردسال,عروسک پارچه‌ای,قرمز,بزرگ,دنیای اسباب‌بازی,535209,1059713,3,بازی و شادی,25,18
19,TOY-0019,لگو ماشین چندرنگ متوسط,لگو و ساختنی,پازل سه‌بعدی,چندرنگ,متوسط,فانتزی,754900,1298428,6,نوین تویز,28,28
20,TOY-0020,ماشین سرعتی مشکی خانواده,ماشین و رادیویی,ماشین کنترلی,مشکی,خانواده,تویز,966297,1700682,2,تویز لند,49,11
