CostID,DateKey,CostType,Amount,Description
1,14030101,اجاره,150000000,اجاره - 1403/01
2,14030101,حقوق و دستمزد,205577000,حقوق و دستمزد - 1403/01
3,14030101,بازاریابی و تبلیغات,36450000,بازاریابی و تبلیغات - 1403/01
4,14030101,قبوض (آب، برق، گاز، تلفن),13987000,قبوض (آب، برق، گاز، تلفن) - 1403/01
5,14030101,استهلاک و تعمیرات,18339000,استهلاک و تعمیرات - 1403/01
6,14030101,حمل و نقل,26773000,حمل و نقل - 1403/01
7,14030101,سایر,10530000,سایر - 1403/01
8,14030201,اجاره,150000000,اجاره - 1403/02
9,14030201,حقوق و دستمزد,215687000,حقوق و دستمزد - 1403/02
10,14030201,بازاریابی و تبلیغات,30051000,بازاریابی و تبلیغات - 1403/02
11,14030201,قبوض (آب، برق، گاز، تلفن),14648000,قبوض (آب، برق، گاز، تلفن) - 1403/02
12,14030201,استهلاک و تعمیرات,17178000,استهلاک و تعمیرات - 1403/02
13,14030201,حمل و نقل,22889000,حمل و نقل - 1403/02
14,14030201,سایر,10016000,سایر - 1403/02
15,14030301,اجاره,150000000,اجاره - 1403/03
16,14030301,حقوق و دستمزد,181061000,حقوق و دستمزد - 1403/03
17,14030301,بازاریابی و تبلیغات,26386000,بازاریابی و تبلیغات - 1403/03
18,14030301,قبوض (آب، برق، گاز، تلفن),15674000,قبوض (آب، برق، گاز، تلفن) - 1403/03
19,14030301,استهلاک و تعمیرات,20269000,استهلاک و تعمیرات - 1403/03
20,14030301,حمل و نقل,22903000,حمل و نقل - 1403/03
21,14030301,سایر,10267000,سایر - 1403/03
22,14030401,اجاره,150000000,اجاره - 1403/04
23,14030401,حقوق و دستمزد,212377000,حقوق و دستمزد - 1403/04
24,14030401,بازاریابی و تبلیغات,31301000,بازاریابی و تبلیغات - 1403/04
25,14030401,قبوض (آب، برق، گاز، تلفن),16376000,قبوض (آب، برق، گاز، تلفن) - 1403/04
26,14030401,استهلاک و تعمیرات,21188000,استهلاک و تعمیرات - 1403/04
27,14030401,حمل و نقل,23801000,حمل و نقل - 1403/04
28,14030401,سایر,8966000,سایر - 1403/04
29,14030501,اجاره,150000000,اجاره - 1403/05
30,14030501,حقوق و دستمزد,218288000,حقوق و دستمزد - 1403/05
31,14030501,بازاریابی و تبلیغات,42058000,بازاریابی و تبلیغات - 1403/05
32,14030501,قبوض (آب، برق، گاز، تلفن),13167000,قبوض (آب، برق، گاز، تلفن) - 1403/05
33,14030501,استهلاک و تعمیرات,17580000,استهلاک و تعمیرات - 1403/05
34,14030501,حمل و نقل,27606000,حمل و نقل - 1403/05
35,14030501,سایر,10311000,سایر - 1403/05
36,14030601,اجاره,150000000,اجاره - 1403/06
37,14030601,حقوق و دستمزد,212285000,حقوق و دستمزد - 1403/06
38,14030601,بازاریابی و تبلیغات,45859000,بازاریابی و تبلیغات - 1403/06
39,14030601,قبوض (آب، برق، گاز، تلفن),15163000,قبوض (آب، برق، گاز، تلفن) - 1403/06
40,14030601,استهلاک و تعمیرات,22838000,استهلاک و تعمیرات - 1403/06
41,14030601,حمل و نقل,24089000,حمل و نقل - 1403/06
42,14030601,سایر,10156000,سایر - 1403/06
43,14030701,اجاره,150000000,اجاره - 1403/07
44,14030701,حقوق و دستمزد,213176000,حقوق و دستمزد - 1403/07
