DateKey,ProductKey,QuantityOnHand,QuantityOrdered
14030106,1,95,0
14030113,1,90,0
14030120,1,87,0
14030127,1,84,0
14030203,1,86,0
14030210,1,87,0
14030217,1,90,0
14030224,1,85,0
14030231,1,84,0
14030307,1,79,0
14030314,1,76,0
14030321,1,76,0
14030328,1,71,0
14030404,1,67,0
14030411,1,68,0
14030418,1,68,0
14030425,1,65,0
14030501,1,65,0
14030508,1,68,0
14030515,1,63,0
14030522,1,66,0
14030529,1,67,0
14030605,1,65,0
14030612,1,61,0
14030619,1,65,0
14030626,1,63,0
14030702,1,58,0
14030709,1,53,0
14030716,1,56,0
14030723,1,57,0
14030730,1,60,0
14030807,1,62,0
14030814,1,62,0
14030821,1,66,0
14030828,1,64,0
14030905,1,64,0
14030912,1,67,0
14030919,1,68,0
14030926,1,71,0
14031003,1,71,0
14031010,1,73,0
14031017,1,68,0
14031024,1,65,0
14031101,1,62,0
14031108,1,57,0
14031115,1,54,0
14031122,1,50,0
14031129,1,47,0
14031206,1,48,0
14031213,1,46,0
14031220,1,44,57
14031227,1,41,57
14040104,1,38,57
14040111,1,42,57
14040118,1,43,57
14040125,1,44,57
14040201,1,40,57
14040208,1,42,57
14040215,1,38,57
14040222,1,36,57
14040229,1,40,57
14040305,1,41,57
14040312,1,41,57
14040319,1,42,57
14040326,1,45,57
14040402,1,47,57
14040409,1,44,0
14040416,1,96,0
14040423,1,94,0
14040430,1,91,0
14040506,1,88,0
14040513,1,92,0
14040520,1,95,0
14040527,1,93,0
14040603,1,94,0
14040610,1,92,0
14040617,1,96,0
14040624,1,95,0
14040631,1,92,0
14040707,1,89,0
14040714,1,89,0
14040721,1,86,0
14040728,1,86,0
14040805,1,89,0
14040812,1,87,0
14040819,1,84,0
14040826,1,88,0
14040903,1,88,0
14040910,1,83,0
14040917,1,78,0
14040924,1,74,0
14041001,1,75,0
14041008,1,77,0
14041015,1,76,0
14041022,1,71,0
14041029,1,69,0
14041106,1,73,0
14041113,1,73,0
14041120,1,77,0
14041127,1,80,0
14041204,1,75,0
14041211,1,77,0
14041218,1,78,0
14041225,1,78,0
14050103,1,75,0
14050110,1,76,0
14050117,1,72,0
14050124,1,71,0
14050131,1,70,0
14050207,1,74,0
14050214,1,77,0
14050221,1,74,0
14050228,1,74,0
14050304,1,70,0
14050311,1,74,0
14050318,1,77,0
14050325,1,74,0
14050401,1,75,0
14050408,1,76,0
14050415,1,72,0
14050422,1,74,0
14050429,1,74,0
14050505,1,76,0
14050512,1,76,0
14050519,1,71,0
14030106,2,44,0
14030113,2,39,0
14030120,2,43,0
14030127,2,46,0
14030203,2,49,0
14030210,2,47,0
14030217,2,42,0
14030224,2,45,0
14030231,2,49,0
14030307,2,44,0
14030314,2,43,0
14030321,2,38,0
14030328,2,40,0
14030404,2,42,0
14030411,2,38,0
14030418,2,37,0
14030425,2,37,0
14030501,2,34,0
14030508,2,37,0
14030515,2,36,0
14030522,2,33,0
14030529,2,33,0
14030605,2,35,0
14030612,2,32,0
14030619,2,30,0
14030626,2,34,0
14030702,2,35,0
14030709,2,34,0
14030716,2,34,0
14030723,2,30,0
14030730,2,27,0
14030807,2,25,0
14030814,2,25,0
14030821,2,22,0
14030828,2,19,33
14030905,2,14,33
14030912,2,15,33
14030919,2,12,33
14030926,2,16,33
14031003,2,19,33
14031010,2,14,33
14031017,2,11,33
14031024,2,12,33
14031101,2,9,33
14031108,2,5,33
14031115,2,9,33
14031122,2,9,33
14031129,2,8,33
14031206,2,10,33
14031213,2,13,33
14031220,2,9,33
14031227,2,4,33
14040104,2,3,33
14040111,2,2,33
14040118,2,1,33
14040125,2,3,33
14040201,2,4,33
14040208,2,8,33
14040215,2,3,33
14040222,2,2,33
14040229,2,0,33
14040305,2,3,33
14040312,2,0,33
14040319,2,0,33
14040326,2,0,33
14040402,2,0,33
14040409,2,0,33
14040416,2,0,33
14040423,2,4,33
14040430,2,3,33
14040506,2,6,33
14040513,2,6,33
14040520,2,1,33
14040527,2,5,33
14040603,2,8,33
14040610,2,12,33
14040617,2,16,33
14040624,2,19,33
14040631,2,15,33
14040707,2,14,33
14040714,2,11,33
14040721,2,10,33
14040728,2,5,33
14040805,2,3,33
14040812,2,7,33
14040819,2,4,33
14040826,2,6,33
14040903,2,5,33
14040910,2,4,33
14040917,2,8,33
14040924,2,12,33
14041001,2,12,33
14041008,2,14,33
14041015,2,10,33
14041022,2,7,33
14041029,2,11,33
14041106,2,11,33
14041113,2,11,33
14041120,2,13,33
14041127,2,8,33
14041204,2,8,33
14041211,2,8,33
14041218,2,11,33
14041225,2,7,33
14050103,2,11,33
14050110,2,6,33
14050117,2,2,33
14050124,2,2,33
14050131,2,3,33
14050207,2,0,33
14050214,2,0,33
14050221,2,3,33
14050228,2,0,33
14050304,2,0,33
14050311,2,1,33
14050318,2,0,33
14050325,2,0,33
14050401,2,0,33
14050408,2,4,33
14050415,2,1,33
14050422,2,3,33
14050429,2,0,33
14050505,2,0,33
14050512,2,1,33
14050519,2,0,33
14030106,3,78,0
14030113,3,80,0
14030120,3,75,0
14030127,3,74,0
14030203,3,78,0
14030210,3,82,0
14030217,3,77,0
14030224,3,74,0
14030231,3,71,0
14030307,3,75,0
14030314,3,78,0
14030321,3,81,0
14030328,3,79,0
14030404,3,75,0
14030411,3,78,0
14030418,3,80,0
14030425,3,81,0
14030501,3,85,0
14030508,3,86,0
14030515,3,81,0
14030522,3,84,0
14030529,3,81,0
14030605,3,82,0
14030612,3,86,0
14030619,3,82,0
14030626,3,78,0
14030702,3,74,0
14030709,3,74,0
14030716,3,71,0
14030723,3,72,0
14030730,3,74,0
14030807,3,71,0
14030814,3,72,0
