InvoiceID,DateKey,CustomerKey,ProductKey,Quantity,UnitPrice,DiscountAmount,LineAmount
1001,14030101,155,865,1,143571,3000,140571
1002,14030101,532,865,2,143571,25000,262142
1002,14030101,532,248,1,1347785,56000,1291785
1002,14030101,532,1355,1,1197501,26000,1171501
1002,14030101,532,610,2,424412,2000,846824
1002,14030101,532,455,1,1215134,78000,1137134
1002,14030101,532,1930,2,115539,5000,226078
1003,14030101,532,248,3,1347785,2000,4041355
1003,14030101,532,865,3,143571,30000,400713
1003,14030101,532,455,1,1215134,18000,1197134
1003,14030101,532,1128,6,1189842,240000,6899052
1003,14030101,532,1492,1,1754440,16000,1738440
1004,14030101,532,865,2,143571,23000,264142
1004,14030101,532,466,3,956011,153000,2715033
1004,14030101,532,1930,7,115539,30000,778773
1004,14030101,532,1355,2,1197501,198000,2197002
1004,14030101,532,1290,2,1054599,181000,1928198
1004,14030101,532,985,2,940783,132000,1749566
1004,14030101,532,455,1,1215134,27000,1188134
1005,14030101,532,865,1,143571,3000,140571
1005,14030101,532,248,1,1347785,37000,1310785
1005,14030101,532,985,2,940783,68000,1813566
1006,14030101,532,865,1,143571,3000,140571
1006,14030101,532,1930,5,115539,37000,540695
1006,14030101,532,1355,2,1197501,40000,2355002
1006,14030101,532,1715,3,1717194,84000,5067582
1007,14030101,532,865,8,143571,73000,1075568
1007,14030101,532,1128,2,1189842,162000,2217684
1007,14030101,532,1355,3,1197501,278000,3314503
1007,14030101,532,2039,1,1583451,5000,1578451
1008,14030101,119,1355,1,1197501,85000,1112501
1008,14030101,119,865,5,143571,98000,619855
1008,14030101,119,248,1,1347785,155000,1192785
1008,14030101,119,610,1,424412,60000,364412
1009,14030101,532,455,1,1215134,29000,1186134
1009,14030101,532,865,2,143571,7000,280142
1009,14030101,532,1861,2,1313426,235000,2391852
1009,14030101,532,610,1,424412,9000,415412
1010,14030101,532,865,2,143571,2000,285142
1010,14030101,532,455,1,1215134,13000,1202134
1010,14030101,532,1355,2,1197501,189000,2206002
1010,14030101,532,1313,2,1013322,12000,2014644
1010,14030101,532,1828,1,1638180,163000,1475180
1010,14030101,532,248,2,1347785,261000,2434570
1010,14030101,532,629,4,1515429,6000,6055716
1010,14030101,532,734,3,851389,174000,2380167
1010,14030101,532,610,2,424412,22000,826824
1010,14030101,532,1128,2,1189842,26000,2353684
1011,14030101,532,865,2,143571,27000,260142
1011,14030101,532,1355,4,1197501,126000,4664004
1011,14030101,532,1128,2,1189842,42000,2337684
1011,14030101,532,505,5,403362,175000,1841810
1012,14030101,532,1930,2,115539,14000,217078
1012,14030101,532,865,1,143571,10000,133571
1012,14030101,532,1128,2,1189842,185000,2194684
1013,14030101,533,1355,1,1197501,98000,1099501
1013,14030101,533,610,1,424412,60000,364412
1013,14030101,533,865,4,143571,76000,498284
1013,14030101,533,455,1,1215134,67000,1148134
1013,14030101,533,1930,4,115539,66000,396156
1014,14030101,532,1355,2,1197501,16000,2379002
1014,14030101,532,865,3,143571,32000,398713
1015,14030102,532,865,2,143571,7000,280142
1015,14030102,532,1355,4,1197501,202000,4588004
1015,14030102,532,505,1,403362,21000,382362
1015,14030102,532,455,3,1215134,73000,3572402
1016,14030102,262,79,10,283656,467000,2369560
1016,14030102,262,865,2,143571,43000,244142
1016,14030102,262,455,1,1215134,148000,1067134
1016,14030102,262,248,1,1347785,214000,1133785
1017,14030102,265,1355,1,1197501,8000,1189501
1017,14030102,265,865,2,143571,6000,281142
1017,14030102,265,455,4,1215134,417000,4443536
1018,14030102,391,865,1,143571,16000,127571
1018,14030102,391,610,1,424412,26000,398412
1019,14030102,105,865,2,143571,13000,274142
1019,14030102,105,1930,3,115539,27000,319617
1019,14030102,105,1355,1,1197501,11000,1186501
1019,14030102,105,455,2,1215134,102000,2328268
1019,14030102,105,1128,2,1189842,173000,2206684
1019,14030102,105,825,2,1135530,223000,2048060
1019,14030102,105,1644,1,1064460,42000,1022460
1019,14030102,105,1017,1,791515,68000,723515
1019,14030102,105,248,1,1347785,25000,1322785
1020,14030102,532,610,2,424412,23000,825824
1020,14030102,532,865,1,143571,13000,130571
1020,14030102,532,825,2,1135530,195000,2076060
1020,14030102,532,455,2,1215134,12000,2418268
1021,14030102,532,1355,3,1197501,348000,3244503
1021,14030102,532,865,5,143571,60000,657855
1021,14030102,532,248,1,1347785,65000,1282785
1021,14030102,532,1128,1,1189842,47000,1142842
1021,14030102,532,455,1,1215134,46000,1169134
1021,14030102,532,1930,8,115539,24000,900312
1021,14030102,532,734,3,851389,116000,2438167
1021,14030102,532,85,2,575699,110000,1041398
1021,14030102,532,1313,10,1013322,563000,9570220
1021,14030102,532,2095,3,384292,17000,1135876
1022,14030102,532,1355,6,1197501,416000,6769006
1022,14030102,532,865,2,143571,21000,266142
1022,14030102,532,1930,1,115539,6000,109539
1023,14030102,532,865,4,143571,9000,565284
1023,14030102,532,1355,6,1197501,57000,7128006
1023,14030102,532,455,1,1215134,72000,1143134
