DateKey,Date,ShamsiDate,ShamsiYear,ShamsiMonth,ShamsiMonthName,ShamsiDay,IsHoliday,Season
14030101,3/20/2024,1403/01/01,1403,1,فروردین,1,True,بهار
14030102,3/21/2024,1403/01/02,1403,1,فروردین,2,True,بهار
14030104,3/23/2024,1403/01/04,1403,1,فروردین,4,True,بهار
14030105,3/24/2024,1403/01/05,1403,1,فروردین,5,False,بهار
14030106,3/25/2024,1403/01/06,1403,1,فروردین,6,False,بهار
14030107,3/26/2024,1403/01/07,1403,1,فروردین,7,False,بهار
14030108,3/27/2024,1403/01/08,1403,1,فروردین,8,False,بهار
14030109,3/28/2024,1403/01/09,1403,1,فروردین,9,False,بهار
14030111,3/30/2024,1403/01/11,1403,1,فروردین,11,False,بهار
14030112,3/31/2024,1403/01/12,1403,1,فروردین,12,True,بهار
14030113,4/1/2024,1403/01/13,1403,1,فروردین,13,True,بهار
14030114,4/2/2024,1403/01/14,1403,1,فروردین,14,False,بهار
14030115,4/3/2024,1403/01/15,1403,1,فروردین,15,False,بهار
14030116,4/4/2024,1403/01/16,1403,1,فروردین,16,False,بهار
14030118,4/6/2024,1403/01/18,1403,1,فروردین,18,False,بهار
14030119,4/7/2024,1403/01/19,1403,1,فروردین,19,False,بهار
14030120,4/8/2024,1403/01/20,1403,1,فروردین,20,False,بهار
14030121,4/9/2024,1403/01/21,1403,1,فروردین,21,False,بهار
14030122,4/10/2024,1403/01/22,1403,1,فروردین,22,True,بهار
14030123,4/11/2024,1403/01/23,1403,1,فروردین,23,True,بهار
14030125,4/13/2024,1403/01/25,1403,1,فروردین,25,False,بهار
14030126,4/14/2024,1403/01/26,1403,1,فروردین,26,False,بهار
14030127,4/15/2024,1403/01/27,1403,1,فروردین,27,False,بهار
14030128,4/16/2024,1403/01/28,1403,1,فروردین,28,False,بهار
14030129,4/17/2024,1403/01/29,1403,1,فروردین,29,False,بهار
14030130,4/18/2024,1403/01/30,1403,1,فروردین,30,False,بهار
14030201,4/20/2024,1403/02/01,1403,2,اردیبهشت,1,False,بهار
14030202,4/21/2024,1403/02/02,1403,2,اردیبهشت,2,False,بهار
14030203,4/22/2024,1403/02/03,1403,2,اردیبهشت,3,False,بهار
14030204,4/23/2024,1403/02/04,1403,2,اردیبهشت,4,False,بهار
14030205,4/24/2024,1403/02/05,1403,2,اردیبهشت,5,False,بهار
14030206,4/25/2024,1403/02/06,1403,2,اردیبهشت,6,False,بهار
14030208,4/27/2024,1403/02/08,1403,2,اردیبهشت,8,False,بهار
14030209,4/28/2024,1403/02/09,1403,2,اردیبهشت,9,False,بهار
14030210,4/29/2024,1403/02/10,1403,2,اردیبهشت,10,False,بهار
14030211,4/30/2024,1403/02/11,1403,2,اردیبهشت,11,False,بهار
14030212,5/1/2024,1403/02/12,1403,2,اردیبهشت,12,False,بهار
14030213,5/2/2024,1403/02/13,1403,2,اردیبهشت,13,False,بهار
14030215,5/4/2024,1403/02/15,1403,2,اردیبهشت,15,True,بهار
14030216,5/5/2024,1403/02/16,1403,2,اردیبهشت,16,False,بهار
14030217,5/6/2024,1403/02/17,1403,2,اردیبهشت,17,False,بهار
14030218,5/7/2024,1403/02/18,1403,2,اردیبهشت,18,False,بهار
14030219,5/8/2024,1403/02/19,1403,2,اردیبهشت,19,False,بهار
14030220,5/9/2024,1403/02/20,1403,2,اردیبهشت,20,False,بهار
14030222,5/11/2024,1403/02/22,1403,2,اردیبهشت,22,False,بهار
14030223,5/12/2024,1403/02/23,1403,2,اردیبهشت,23,False,بهار
14030224,5/13/2024,1403/02/24,1403,2,اردیبهشت,24,False,بهار
14030225,5/14/2024,1403/02/25,1403,2,اردیبهشت,25,False,بهار
14030226,5/15/2024,1403/02/26,1403,2,اردیبهشت,26,False,بهار
14030227,5/16/2024,1403/02/27,1403,2,اردیبهشت,27,False,بهار
14030229,5/18/2024,1403/02/29,1403,2,اردیبهشت,29,False,بهار
14030230,5/19/2024,1403/02/30,1403,2,اردیبهشت,30,False,بهار
14030231,5/20/2024,1403/02/31,1403,2,اردیبهشت,31,False,بهار
14030301,5/21/2024,1403/03/01,1403,3,خرداد,1,False,بهار
14030302,5/22/2024,1403/03/02,1403,3,خرداد,2,False,بهار
14030303,5/23/2024,1403/03/03,1403,3,خرداد,3,False,بهار
