ProductKey,ProductCode,ProductName,Category,Subcategory,Color,Size,Brand,UnitCost,UnitPriceBase,SupplierID,SupplierName,MinStock,LeadTimeDays
62,TOY-0062,دوچرخه کودک صورتی خانواده,بازی در فضای باز,دوچرخه,صورتی,خانواده,فانتزی,974453,1529891,10,دنیای شادی,22,4
79,TOY-0079,عروسک بامزی چندرنگ کوچک,عروسک,پولیشی,چندرنگ,کوچک,کیدزلند,165881,283656,7,آریا اسباب‌بازی,6,28
85,TOY-0085,فشفشه سبز کوچک,مهمانی و بادکنک,فشفشه,سبز,کوچک,فانتزی,394315,575699,5,پارس اسباب‌بازی,27,24
106,TOY-0106,لگو ماشین چندرنگ متوسط,لگو و ساختنی,ماکت,چندرنگ,متوسط,دنیای اسباب‌بازی,668932,1003398,7,آریا اسباب‌بازی,28,18
211,TOY-0211,بلوک‌های خانه چندرنگ متوسط,لگو و ساختنی,لگو,چندرنگ,متوسط,پیکولو,744159,1279953,7,آریا اسباب‌بازی,5,28
248,TOY-0248,ماشین سرعتی زرد کوچک,ماشین و رادیویی,هواپیما,زرد,کوچک,پلی‌تویز,842366,1347785,3,بازی و شادی,44,17
412,TOY-0412,بلوک‌های خانه سفید متوسط,لگو و ساختنی,پازل سه‌بعدی,سفید,متوسط,زرافه,992369,1558019,3,بازی و شادی,16,5
455,TOY-0455,عروسک خرسی سبز خانواده,عروسک,پولیشی,سبز,خانواده,زرافه,653298,1215134,8,ماهان تویز,13,5
466,TOY-0466,قایق اسباب‌بازی نارنجی بزرگ,ماشین و رادیویی,ماشین ساده,نارنجی,بزرگ,فانتزی,546292,956011,8,ماهان تویز,46,6
475,TOY-0475,لگو آتش‌نشانی مشکی کوچک,لگو و ساختنی,ماکت,مشکی,کوچک,پلی‌تویز,379949,737101,6,نوین تویز,28,18
489,TOY-0489,بادکنک رنگی نارنجی خانواده,مهمانی و بادکنک,فشفشه,نارنجی,خانواده,فانتزی,419152,679026,6,نوین تویز,10,11
502,TOY-0502,پازل چوبی مشکی متوسط,نوزاد و خردسال,جغجغه,مشکی,متوسط,تویز,120141,186218,8,ماهان تویز,12,9
505,TOY-0505,توپ بسکتبال آبی متوسط,بازی در فضای باز,استخر بادی,آبی,متوسط,پاندورا,250536,403362,4,کیان تویز,45,23
572,TOY-0572,کاغذ رنگی سبز متوسط,مهمانی و بادکنک,کلاه تولد,سبز,متوسط,کیدزلند,523109,826512,7,آریا اسباب‌بازی,23,25
586,TOY-0586,اسکوتر بنفش متوسط,بازی در فضای باز,توپ,بنفش,متوسط,تویز,58199,87298,3,بازی و شادی,49,22
610,TOY-0610,توپ بسکتبال چندرنگ بزرگ,بازی در فضای باز,دوچرخه,چندرنگ,بزرگ,شادی,272059,424412,7,آریا اسباب‌بازی,35,12
629,TOY-0629,کتاب قصه‌های کهن قرمز متوسط,فکری و آموزشی,بازی فکری,قرمز,متوسط,تویز,875971,1515429,3,بازی و شادی,8,16
