CostID,DateKey,CostType,Amount,Description
1,14030101,اجاره,150000000,اجاره - 1403/01
2,14030101,حقوق و دستمزد,205577000,حقوق و دستمزد - 1403/01
3,14030101,بازاریابی و تبلیغات,36450000,بازاریابی و تبلیغات - 1403/01
4,14030101,قبوض (آب، برق، گاز، تلفن),13987000,قبوض (آب، برق، گاز، تلفن) - 1403/01
5,14030101,استهلاک و تعمیرات,18339000,استهلاک و تعمیرات - 1403/01
6,14030101,حمل و نقل,26773000,حمل و نقل - 1403/01
7,14030101,سایر,10530000,سایر - 1403/01
8,14030201,اجاره,150000000,اجاره - 1403/02
9,14030201,حقوق و دستمزد,215687000,حقوق و دستمزد - 1403/02
10,14030201,بازاریابی و تبلیغات,30051000,بازاریابی و تبلیغات - 1403/02
11,14030201,قبوض (آب، برق، گاز، تلفن),14648000,قبوض (آب، برق، گاز، تلفن) - 1403/02
12,14030201,استهلاک و تعمیرات,17178000,استهلاک و تعمیرات - 1403/02
13,14030201,حمل و نقل,22889000,حمل و نقل - 1403/02
14,14030201,سایر,10016000,سایر - 1403/02
15,14030301,اجاره,150000000,اجاره - 1403/03
16,14030301,حقوق و دستمزد,181061000,حقوق و دستمزد - 1403/03
17,14030301,بازاریابی و تبلیغات,26386000,بازاریابی و تبلیغات - 1403/03
18,14030301,قبوض (آب، برق، گاز، تلفن),15674000,قبوض (آب، برق، گاز، تلفن) - 1403/03
19,14030301,استهلاک و تعمیرات,20269000,استهلاک و تعمیرات - 1403/03
20,14030301,حمل و نقل,22903000,حمل و نقل - 1403/03
21,14030301,سایر,10267000,سایر - 1403/03
