DateKey,ProductKey,QuantityOnHand,QuantityOrdered
14030106,62,40,0
14030113,62,35,0
14030120,62,39,0
14030127,62,36,0
14030203,62,33,0
14030210,62,34,0
14030217,62,29,0
14030224,62,24,0
14030231,62,24,0
14030106,79,20,0
14030113,79,19,0
14030120,79,15,0
14030127,79,14,0
14030203,79,12,0
14030210,79,16,0
14030217,79,18,0
14030224,79,17,0
14030231,79,16,0
14030106,85,56,0
14030113,85,54,0
14030120,85,57,0
14030127,85,55,0
14030203,85,54,0
14030210,85,54,0
14030217,85,50,0
14030224,85,47,0
14030231,85,48,0
14030106,106,57,0
14030113,106,54,0
14030120,106,55,0
14030127,106,59,0
14030203,106,55,0
14030210,106,56,0
14030217,106,59,0
14030224,106,63,0
14030231,106,58,0
14030106,211,19,0
14030113,211,21,0
14030120,211,24,0
14030127,211,27,0
14030203,211,30,0
14030210,211,34,0
14030217,211,32,0
14030224,211,36,0
14030231,211,33,0
14030106,248,326,0
14030113,248,324,0
14030120,248,327,0
14030127,248,329,0
14030203,248,329,0
14030210,248,326,0
14030217,248,328,0
14030224,248,331,0
14030231,248,334,0
14030106,412,41,0
14030113,412,41,0
14030120,412,41,0
14030127,412,44,0
14030203,412,40,0
14030210,412,41,0
14030217,412,41,0
14030224,412,37,0
14030231,412,35,0
14030106,455,550,0
14030113,455,552,0
14030120,455,553,0
14030127,455,557,0
14030203,455,555,0
14030210,455,554,0
14030217,455,554,0
14030224,455,554,0
14030231,455,556,0
14030106,466,89,0
14030113,466,90,0
14030120,466,94,0
14030127,466,98,0
14030203,466,95,0
14030210,466,98,0
14030217,466,96,0
14030224,466,96,0
14030231,466,97,0
14030106,475,53,0
14030113,475,51,0
14030120,475,48,0
14030127,475,45,0
14030203,475,44,0
14030210,475,47,0
14030217,475,50,0
14030224,475,51,0
14030231,475,47,0
14030106,489,50,0
14030113,489,46,0
14030120,489,44,0
14030127,489,48,0
14030203,489,48,0
14030210,489,46,0
14030217,489,45,0
14030224,489,42,0
14030231,489,39,0
14030106,502,26,0
14030113,502,21,0
14030120,502,20,0
14030127,502,24,0
14030203,502,23,0
14030210,502,24,0
14030217,502,27,0
14030224,502,22,0
14030231,502,24,0
14030106,505,154,0
14030113,505,154,0
14030120,505,156,0
14030127,505,154,0
14030203,505,158,0
14030210,505,157,0
14030217,505,156,0
14030224,505,151,0
14030231,505,151,0
14030106,572,47,0
14030113,572,50,0
14030120,572,51,0
14030127,572,49,0
14030203,572,50,0
14030210,572,48,0
14030217,572,46,0
14030224,572,46,0
14030231,572,49,0
14030106,586,98,0
14030113,586,101,0
14030120,586,100,0
14030127,586,99,0
14030203,586,102,0
14030210,586,102,0
14030217,586,99,0
14030224,586,95,0
14030231,586,91,0
14030106,610,358,0
14030113,610,361,0
14030120,610,356,0
14030127,610,357,0
14030203,610,361,0
14030210,610,365,0
14030217,610,364,0
14030224,610,368,0
14030231,610,371,0
14030106,629,27,0
14030113,629,30,0
14030120,629,29,0
14030127,629,30,0
14030203,629,30,0
14030210,629,26,0
14030217,629,25,0
14030224,629,24,0
14030231,629,22,0
14030106,678,32,0
14030113,678,27,0
14030120,678,31,0
14030127,678,30,0
14030203,678,34,0
14030210,678,32,0
14030217,678,28,0
14030224,678,26,0
14030231,678,23,0
14030106,725,62,0
14030113,725,64,0
14030120,725,59,0
14030127,725,57,0
14030203,725,58,0
14030210,725,57,0
14030217,725,58,0
14030224,725,58,0
14030231,725,61,0
14030106,734,260,0
14030113,734,256,0
14030120,734,253,0
14030127,734,253,0
14030203,734,251,0
14030210,734,249,0
14030217,734,245,0
14030224,734,247,0
14030231,734,245,0
14030106,749,42,0
14030113,749,42,0
14030120,749,37,0
14030127,749,32,0
14030203,749,28,0
14030210,749,27,0
14030217,749,29,0
14030224,749,24,0
14030231,749,20,0
14030106,771,78,0
14030113,771,78,0
14030120,771,79,0
14030127,771,78,0
14030203,771,73,0
14030210,771,72,0
14030217,771,74,0
14030224,771,73,0
14030231,771,69,0
14030106,825,38,0
14030113,825,42,0
14030120,825,43,0
14030127,825,41,0
14030203,825,41,0
14030210,825,38,0
14030217,825,34,0
14030224,825,31,0
14030231,825,27,0
14030106,865,1276,0
14030113,865,1276,0
14030120,865,1273,0
14030127,865,1274,0
14030203,865,1275,0
14030210,865,1276,0
14030217,865,1276,0
14030224,865,1271,0
14030231,865,1274,0
14030106,985,69,0
14030113,985,68,0
14030120,985,72,0
14030127,985,73,0
14030203,985,70,0
14030210,985,71,0
14030217,985,73,0
14030224,985,71,0
14030231,985,69,0
14030106,1017,108,0
14030113,1017,108,0
14030120,1017,111,0
14030127,1017,110,0
14030203,1017,105,0
14030210,1017,105,0
14030217,1017,108,0
