DateKey,Date,Forecast,LowerBound,UpperBound
14050523,2026-08-14,204621780.60750136,135386074.27163383,268517790.8692297
14050524,2026-08-15,183063080.9985408,120487069.26215898,247332170.05220908
14050525,2026-08-16,216552711.0577299,147838447.94964996,280219317.47565436
14050526,2026-08-17,216178161.7053975,149923232.7306591,282555700.5778486
14050527,2026-08-18,210630776.06615323,146822380.44673684,280688599.31617206
14050528,2026-08-19,207853594.58451054,139492693.91196764,278515480.5242243
14050529,2026-08-20,216077356.00017276,152209379.99384728,283003660.15892494
14050530,2026-08-21,193618355.3307008,126606706.98053706,265278549.6940313
14050531,2026-08-22,172517006.9554875,109330356.83401455,235493949.51514253
14050601,2026-08-23,206700366.69525915,142343436.4016075,278617783.4375779
14050602,2026-08-24,207224987.37770826,143505437.7681435,270324149.309957
14050603,2026-08-25,202746089.77865604,140112163.34746182,268508659.7592591
14050604,2026-08-26,201166523.54194897,137831620.10744813,270298502.90980947
14050605,2026-08-27,210673982.98480964,144763951.46307105,277154458.725854
14050606,2026-08-28,189540142.33413225,122058945.24700285,255013800.68065828
14050607,2026-08-29,169760520.57550663,101847385.46379657,237690010.7958216
14050608,2026-08-30,205218291.7161437,137879046.42149162,270916670.3897015
14050609,2026-08-31,206928377.80855012,140687326.83152482,276053100.7109336
14050610,2026-09-01,203507771.50645453,135963540.64281285,266348431.15673622
14050611,2026-09-02,202825530.67836148,134355792.71783072,269209964.1036613
14050612,2026-09-03,213040881.85322344,143722380.1629769,280013096.1795475
14050613,2026-09-04,192403073.63310194,130259833.38170433,255389227.2832757
14050614,2026-09-05,172891772.19683915,104519691.47579163,233885618.39033172
14050615,2026-09-06,208381202.44564515,137067700.6728778,272458708.1048944
14050616,2026-09-07,209884365.9834256,139599516.2606231,283168996.05620295
14050617,2026-09-08,206023282.72744858,143270575.27847555,271411710.13830096
14050618,2026-09-09,204678704.8016837,139566818.34766454,270459052.32223845
14050619,2026-09-10,214027751.42628488,152318803.23268485,275013906.19383174
14050620,2026-09-11,192343123.25823745,124721844.67631702,261970604.05794528
14050621,2026-09-12,171632710.39988068,106806227.82564862,235035754.14892685
14050622,2026-09-13,205802823.75920272,140638235.5865273,269197460.6362929
14050623,2026-09-14,205901410.2752941,137934040.98494145,269856962.35288674
14050624,2026-09-15,200587230.38713282,133878521.47228265,258370496.78019515
14050625,2026-09-16,197778479.242819,131537003.82923159,267673565.63763043
14050626,2026-09-17,205689333.467609,138675495.27500713,271251124.023232
14050627,2026-09-18,182628114.29312706,117002062.27199374,252678369.54624218
14050628,2026-09-19,160635911.89247808,96455896.18457098,228690267.1488549
14050629,2026-09-20,193648928.5996559,133104516.51207869,257946642.38981462
14050630,2026-09-21,192740926.08832788,123527852.65891817,259697494.1411062
14050631,2026-09-22,186591775.30997223,125504816.69325739,253036820.67442307
14050701,2026-09-23,183135606.42125118,117393431.78239976,247920576.7173573
14050702,2026-09-24,190597051.15311098,124720615.58970393,257916617.84576008
14050703,2026-09-25,167289273.71939528,99934672.6265122,233305153.78592557
14050704,2026-09-26,145252634.98702982,80241804.62369286,209011935.0922387
14050705,2026-09-27,178417242.1481906,119506789.86360379,243271612.6015789
14050706,2026-09-28,177845758.46863264,113147876.4434649,241350527.87027505
14050707,2026-09-29,172202456.76225436,108094483.29703036,236342729.4207695
14050708,2026-09-30,169401994.57854486,97881754.03338695,231755259.78162774
14050709,2026-10-01,177646380.88782683,111343249.4042143,241297926.24975654
14050710,2026-10-02,155223805.04348677,86043352.65687199,219778840.478196
14050711,2026-10-03,134148145.61757621,66260981.6504397,197172253.81033424
14050712,2026-10-04,168322383.30674124,102431058.26422122,237199286.1622293
14050713,2026-10-05,168782264.4292584,97153797.89233792,234556310.9407357
14050714,2026-10-06,164166171.49761093,96685515.6461386,228513733.67459664
14050715,2026-10-07,162364653.42573476,95221173.02255158,232442085.27373397
14050716,2026-10-08,171558062.26429832,102987293.22068192,229502576.60927677
14050717,2026-10-09,150015947.57977667,81222526.98789379,213429277.32483736
14050718,2026-10-10,129737010.2294219,61041207.49759609,196381843.15983433
14050719,2026-10-11,164612828.1616626,102375264.06807426,228738540.75759712
14050720,2026-10-12,165671693.7812081,102785473.41859058,230037478.05269212
14050721,2026-10-13,161548517.13971108,98056175.59185332,227986667.9311656
14050722,2026-10-14,160134250.04208598,95002065.60569373,226441163.07181162
14050723,2026-10-15,169613285.1082769,103214497.88409124,232294848.2770914
14050724,2026-10-16,148262492.36435673,86016918.47481175,213556169.7856123
14050725,2026-10-17,128090710.45732225,58815408.30953436,196375958.67089692
14050726,2026-10-18,163001923.78640264,94138332.80185723,227336439.15311778
14050727,2026-10-19,164038486.4154399,103532154.45307891,228306552.5436741
14050728,2026-10-20,159850370.27289885,91078891.49784507,227805000.55774355
14050729,2026-10-21,158343917.08922413,87829581.18082917,221475340.78693599
14050730,2026-10-22,167718572.7594205,99463923.5985318,235989313.4459315
14050801,2026-10-23,146265290.7992643,85653700.74814951,217195943.48419917
14050802,2026-10-24,126005444.72264649,61632859.07939696,193484385.1417104
14050803,2026-10-25,160853501.2370772,98890218.1199511,227741771.48381618
14050804,2026-10-26,161859832.9149672,98697100.8288919,230676593.78058296
14050805,2026-10-27,157679662.22643748,92775357.81479803,221984742.81783962
14050806,2026-10-28,156221626.8888256,88190832.540958,224125907.29755858
14050807,2026-10-29,165684451.48749647,98431732.11187729,231415508.17997065
14050808,2026-10-30,144355413.8809305,77924682.96314585,211764852.4101356
14050809,2026-10-31,124249443.56765345,56241050.063630775,187478795.67613733
14050810,2026-11-01,159272096.87995407,92817499.64163436,223071170.12910533
14050811,2026-11-02,160462776.47238627,97539125.49194998,226954044.8811077
14050812,2026-11-03,156464172.0435055,87117730.1318009,222319130.64286378
14050813,2026-11-04,155171394.03316888,84777473.76300725,221016921.6232411
14050814,2026-11-05,164769264.40020618,99042273.61866464,233189835.00809038
14050815,2026-11-06,143531430.2077013,75507350.61261266,209756287.84486085
14050816,2026-11-07,123460113.2522059,59590929.59100144,186958016.2365167
14050817,2026-11-08,158449716.31347328,89630005.33551432,221820208.2397348
14050818,2026-11-09,159530629.69683862,93106415.65537553,232151550.51781884
14050819,2026-11-10,155339192.51427993,94940831.31764981,222186384.19435528
14050820,2026-11-11,153767260.03885016,92134754.04031853,225920556.69285172
